Variable	/1.05	*1.05	/1.1	*1.1	/1.15	*1.15	/1.2	*1.2	/1.3	*1.3
l1	5.0702	5.4825	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13
l2	6.5911	6.9771	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13
x0_1	9.6316	10.8426	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13
x0_2	4.2454	4.2216	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13
mass	6.0905	7.1632	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13	3.7272e-13
I1	0.18176	0.17418	0.36237	0.3335	0.54187	0.47983	0.72024	0.61463	1.0736	0.85462
kp1_21	0.22512	0.2129	0.45181	0.40514	0.68022	0.5796	0.91031	0.73867	1.3757	1.0181
kp0_21	0.35479	0.3347	0.71294	0.63621	1.0749	0.90921	1.4404	1.1577	2.1829	1.593
kp1_11	0.47149	0.45523	0.93717	0.87484	1.3949	1.2627	1.8461	1.6224	2.7316	2.2684
kp0_12	0.47085	0.44629	0.94402	0.85033	1.4195	1.2178	1.8974	1.5533	2.8602	2.1442
m1	0.51204	0.4965	1.0151	0.95559	1.5092	1.3813	1.9946	1.7771	2.94	2.4915
I2	0.71052	0.69276	1.4046	1.3364	2.0827	1.9357	2.7456	2.4954	4.0271	3.5109
lc1	0.67727	0.62875	1.3706	1.1852	2.078	1.6796	2.7976	2.1212	4.2671	2.8703
kp0_22	1.1523	1.1325	2.2592	2.193	3.3407	3.1882	4.398	4.1239	6.3947	5.8372
kp1_12	1.0815	1.0235	2.1702	1.949	3.2661	2.7886	4.3694	3.5545	6.5979	4.901
kp1_22	1.9751	2.004	3.8469	3.9278	5.6133	5.7433	7.2921	7.5171	10.3716	10.8594
kp0_11	2.1159	2.2056	4.0458	4.387	5.8076	6.5366	7.4204	8.6498	10.2563	12.7464
m2	2.4617	2.496	4.7721	4.9031	6.9512	7.2349	9.0308	9.4664	12.7595	13.6957
lc2	2.6688	2.6239	5.2439	5.0734	7.7257	7.3758	10.1481	9.5005	14.7015	13.3198
kpgain	3.8072	3.9185	7.3365	7.7371	10.5885	11.4235	13.6077	15.0211	18.9941	21.8696
